date, timestamp, annotation, manual
2015-09-12 21:30:53 +0000, 49.450030, start, 1
2015-09-12 21:31:38 +0000, 94.070982, exploreno leuk, 1
2015-09-12 21:33:11 +0000, 186.947706, flies, 1
2015-09-12 21:33:28 +0000, 203.624160, revulsion, 1
2015-09-12 21:33:47 +0000, 223.261413, flies gone, 1
2015-09-12 21:33:57 +0000, 233.497149, gme over, 1
2015-09-12 21:34:08 +0000, 244.419661, restart, 1
2015-09-12 21:34:26 +0000, 261.722899, flies, 1
2015-09-12 21:35:13 +0000, 309.449318, dino, 1
2015-09-12 21:35:32 +0000, 328.320467, bites, 1
2015-09-12 21:35:52 +0000, 348.287649, knives, 1
2015-09-12 21:36:10 +0000, 366.546300, spider warning, 1
2015-09-12 21:36:28 +0000, 383.979549, distress, 1
2015-09-12 21:36:45 +0000, 401.010998, deep￼distress, 1
2015-09-12 21:37:05 +0000, 421.173291, spdiers gone, 1
2015-09-12 21:37:23 +0000, 438.679287, flying daggers, 1
2015-09-12 21:37:44 +0000, 460.456837, dark, 1
2015-09-12 21:38:01 +0000, 477.249987, pencil, 1
2015-09-12 21:38:12 +0000, 487.826482, flying spider, 1
