date, rr, since start
2015-09-12 21:31:41 +0000, 758, 92880
2015-09-12 21:31:42 +0000, 769, 93649
2015-09-12 21:31:42 +0000, 740, 94389
2015-09-12 21:31:43 +0000, 704, 95093
2015-09-12 21:31:44 +0000, 736, 95829
2015-09-12 21:31:45 +0000, 738, 96567
2015-09-12 21:31:45 +0000, 705, 97272
2015-09-12 21:31:46 +0000, 681, 97953
2015-09-12 21:31:47 +0000, 705, 98658
2015-09-12 21:31:47 +0000, 727, 99385
2015-09-12 21:31:48 +0000, 721, 100106
2015-09-12 21:31:49 +0000, 710, 100816
2015-09-12 21:31:50 +0000, 698, 101514
2015-09-12 21:31:50 +0000, 658, 102172
2015-09-12 21:31:51 +0000, 657, 102829
2015-09-12 21:31:53 +0000, 679, 103508
2015-09-12 21:31:53 +0000, 742, 104250
2015-09-12 21:31:53 +0000, 668, 104918
2015-09-12 21:31:54 +0000, 741, 105659
2015-09-12 21:31:54 +0000, 724, 106383
2015-09-12 21:31:55 +0000, 703, 107086
2015-09-12 21:31:56 +0000, 676, 107762
2015-09-12 21:31:56 +0000, 696, 108458
2015-09-12 21:31:57 +0000, 683, 109141
2015-09-12 21:31:58 +0000, 681, 109822
2015-09-12 21:31:58 +0000, 661, 110483
2015-09-12 21:31:59 +0000, 648, 111131
2015-09-12 21:32:00 +0000, 700, 111831
2015-09-12 21:32:01 +0000, 743, 112574
2015-09-12 21:32:01 +0000, 692, 113266
2015-09-12 21:32:02 +0000, 720, 113986
2015-09-12 21:32:03 +0000, 727, 114713
2015-09-12 21:32:03 +0000, 738, 115451
2015-09-12 21:32:04 +0000, 734, 116185
2015-09-12 21:32:05 +0000, 789, 116974
2015-09-12 21:32:06 +0000, 845, 117819
2015-09-12 21:32:07 +0000, 839, 118658
2015-09-12 21:32:07 +0000, 833, 119491
2015-09-12 21:32:08 +0000, 874, 120365
2015-09-12 21:32:09 +0000, 854, 121219
2015-09-12 21:32:10 +0000, 885, 122104
2015-09-12 21:32:11 +0000, 816, 122920
2015-09-12 21:32:12 +0000, 821, 123741
2015-09-12 21:32:14 +0000, 908, 124649
2015-09-12 21:32:15 +0000, 902, 125551
2015-09-12 21:32:15 +0000, 842, 126393
2015-09-12 21:32:15 +0000, 862, 127255
2015-09-12 21:32:16 +0000, 870, 128125
2015-09-12 21:32:17 +0000, 869, 128994
2015-09-12 21:32:18 +0000, 803, 129797
2015-09-12 21:32:19 +0000, 696, 130493
2015-09-12 21:32:19 +0000, 653, 131146
2015-09-12 21:32:20 +0000, 621, 131767
2015-09-12 21:32:20 +0000, 605, 132372
2015-09-12 21:32:21 +0000, 597, 132969
2015-09-12 21:32:22 +0000, 611, 133580
2015-09-12 21:32:22 +0000, 660, 134240
2015-09-12 21:32:25 +0000, 881, 135121
2015-09-12 21:32:26 +0000, 849, 135970
2015-09-12 21:32:27 +0000, 884, 136854
2015-09-12 21:32:27 +0000, 928, 137782
2015-09-12 21:32:28 +0000, 894, 138676
2015-09-12 21:32:29 +0000, 899, 139575
2015-09-12 21:32:30 +0000, 885, 140460
2015-09-12 21:32:31 +0000, 850, 141310
2015-09-12 21:32:32 +0000, 911, 142221
2015-09-12 21:32:33 +0000, 1003, 143224
2015-09-12 21:32:34 +0000, 960, 144184
2015-09-12 21:32:35 +0000, 1000, 145184
2015-09-12 21:32:36 +0000, 1029, 146213
